FG Threshold,mean iou,mean_precision,mean_recall,mean_accuracy
0.00,0.72,0.75,0.73,0.73
0.00,0.72,0.75,0.73,0.73
0.01,0.72,0.75,0.73,0.73
0.01,0.72,0.75,0.73,0.73
0.02,0.72,0.75,0.73,0.73
0.02,0.72,0.75,0.74,0.73
0.02,0.72,0.75,0.74,0.73
0.03,0.72,0.75,0.74,0.73
0.03,0.72,0.75,0.74,0.73
0.04,0.72,0.75,0.74,0.73
0.04,0.72,0.74,0.74,0.73
0.04,0.72,0.74,0.74,0.73
0.05,0.72,0.74,0.74,0.73
0.05,0.72,0.74,0.74,0.73
0.05,0.72,0.74,0.74,0.73
0.06,0.72,0.74,0.74,0.73
0.06,0.72,0.74,0.74,0.73
0.07,0.72,0.74,0.74,0.73
0.07,0.72,0.74,0.74,0.73
0.07,0.72,0.74,0.74,0.73
0.08,0.72,0.74,0.74,0.73
0.08,0.72,0.74,0.74,0.73
0.09,0.72,0.74,0.74,0.73
0.09,0.72,0.74,0.74,0.73
0.09,0.72,0.74,0.74,0.73
0.10,0.72,0.74,0.74,0.73
0.10,0.72,0.74,0.74,0.73
0.11,0.72,0.74,0.74,0.73
0.11,0.72,0.74,0.74,0.73
0.11,0.72,0.74,0.74,0.73
0.12,0.72,0.74,0.74,0.73
0.12,0.72,0.74,0.74,0.73
0.13,0.72,0.74,0.74,0.73
0.13,0.72,0.74,0.74,0.73
0.13,0.72,0.74,0.74,0.73
0.14,0.72,0.74,0.74,0.73
0.14,0.72,0.74,0.74,0.73
0.15,0.72,0.74,0.74,0.73
0.15,0.72,0.74,0.74,0.73
0.15,0.72,0.74,0.74,0.73
0.16,0.71,0.74,0.74,0.72
0.16,0.71,0.74,0.74,0.72
0.16,0.71,0.74,0.74,0.72
0.17,0.71,0.74,0.74,0.72
0.17,0.71,0.74,0.74,0.72
0.18,0.81,0.84,0.88,0.87
0.18,0.81,0.84,0.88,0.87
0.18,0.81,0.84,0.88,0.87
0.19,0.81,0.84,0.88,0.87
0.19,0.81,0.84,0.88,0.87
0.20,0.81,0.84,0.88,0.86
0.20,0.81,0.84,0.88,0.86
0.20,0.81,0.84,0.88,0.86
0.21,0.81,0.84,0.88,0.86
0.21,0.81,0.85,0.87,0.86
0.22,0.81,0.85,0.87,0.86
0.22,0.81,0.85,0.87,0.86
0.22,0.81,0.85,0.87,0.86
0.23,0.81,0.85,0.87,0.86
0.23,0.81,0.85,0.87,0.87
0.24,0.81,0.85,0.87,0.87
0.24,0.81,0.85,0.87,0.87
0.24,0.81,0.85,0.87,0.87
0.25,0.81,0.85,0.87,0.87
0.25,0.81,0.85,0.87,0.86
0.25,0.81,0.85,0.87,0.86
0.26,0.81,0.85,0.87,0.86
0.26,0.81,0.85,0.87,0.86
0.27,0.81,0.85,0.87,0.86
0.27,0.81,0.85,0.87,0.86
0.27,0.81,0.85,0.87,0.86
0.28,0.81,0.85,0.87,0.86
0.28,0.81,0.85,0.87,0.86
0.29,0.81,0.85,0.87,0.86
0.29,0.82,0.86,0.87,0.87
0.29,0.82,0.86,0.87,0.87
0.30,0.82,0.86,0.87,0.87
0.30,0.82,0.86,0.87,0.87
0.31,0.82,0.86,0.87,0.87
0.31,0.81,0.85,0.87,0.86
0.31,0.81,0.85,0.87,0.86
0.32,0.81,0.85,0.87,0.86
0.32,0.81,0.85,0.87,0.86
0.33,0.81,0.85,0.87,0.86
0.33,0.81,0.85,0.87,0.86
0.33,0.81,0.85,0.87,0.86
0.34,0.81,0.85,0.87,0.86
0.34,0.81,0.85,0.87,0.86
0.35,0.81,0.85,0.87,0.86
0.35,0.81,0.85,0.87,0.86
0.35,0.81,0.85,0.87,0.86
0.36,0.81,0.85,0.87,0.86
0.36,0.81,0.85,0.87,0.86
0.36,0.81,0.85,0.87,0.86
0.37,0.79,0.81,0.85,0.83
0.37,0.79,0.81,0.85,0.83
0.38,0.79,0.81,0.85,0.83
0.38,0.79,0.81,0.85,0.83
0.38,0.79,0.81,0.85,0.83
0.39,0.81,0.83,0.88,0.86
0.39,0.81,0.83,0.88,0.86
0.40,0.81,0.83,0.88,0.86
0.40,0.81,0.83,0.88,0.86
0.40,0.80,0.82,0.88,0.84
0.41,0.80,0.82,0.88,0.84
0.41,0.80,0.82,0.88,0.84
0.42,0.80,0.82,0.88,0.84
0.42,0.80,0.82,0.88,0.84
0.42,0.80,0.82,0.88,0.84
0.43,0.80,0.82,0.88,0.84
0.43,0.80,0.82,0.88,0.84
0.44,0.80,0.82,0.88,0.84
0.44,0.80,0.82,0.88,0.84
0.44,0.80,0.82,0.88,0.84
0.45,0.80,0.82,0.88,0.84
0.45,0.80,0.82,0.88,0.84
0.45,0.80,0.82,0.88,0.84
0.46,0.80,0.82,0.88,0.84
0.46,0.80,0.82,0.88,0.83
0.47,0.80,0.82,0.88,0.83
0.47,0.80,0.82,0.88,0.83
0.47,0.80,0.82,0.88,0.83
0.48,0.80,0.82,0.88,0.83
0.48,0.80,0.83,0.88,0.83
0.49,0.80,0.83,0.88,0.83
0.49,0.80,0.83,0.88,0.83
0.49,0.80,0.83,0.88,0.83
0.50,0.80,0.83,0.88,0.83
0.50,0.80,0.82,0.88,0.83
0.51,0.80,0.82,0.88,0.83
